"","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP"
"3229",95555,"Humboldt County","CA",6023,"H1"
"3230",95568,"Humboldt County","CA",6023,"H1"
"3231",95503,"Humboldt County","CA",6023,"H1"
"3232",95542,"Humboldt County","CA",6023,"H1"
"3233",95562,"Humboldt County","CA",6023,"H1"
"3234",95518,"Humboldt County","CA",6023,"H1"
"3235",95573,"Humboldt County","CA",6023,"H1"
"3236",95511,"Humboldt County","CA",6023,"H1"
"3237",95556,"Humboldt County","CA",6023,"H1"
"3238",95545,"Humboldt County","CA",6023,"H1"
"3239",95553,"Humboldt County","CA",6023,"H1"
"3240",95570,"Humboldt County","CA",6023,"H1"
"3241",95524,"Humboldt County","CA",6023,"H1"
"3242",95550,"Humboldt County","CA",6023,"H1"
"3243",95587,"Humboldt County","CA",6023,"H1"
"3244",95554,"Humboldt County","CA",6023,"H1"
"3245",95526,"Humboldt County","CA",6023,"H1"
"3246",95559,"Humboldt County","CA",6023,"H1"
"3247",95534,"Humboldt County","CA",6023,"H1"
"3248",95525,"Humboldt County","CA",6023,"H1"
"3249",95547,"Humboldt County","CA",6023,"H1"
"3250",95564,"Humboldt County","CA",6023,"H1"
"3251",95501,"Humboldt County","CA",6023,"H1"
"3252",95560,"Humboldt County","CA",6023,"H1"
"3253",95569,"Humboldt County","CA",6023,"H1"
"3254",95514,"Humboldt County","CA",6023,"H1"
"3255",95563,"Humboldt County","CA",6023,"H1"
"3256",95571,"Humboldt County","CA",6023,"H1"
"3257",92251,"Imperial County","CA",6025,"H1"
"3258",92266,"Imperial County","CA",6025,"H1"
"3259",92250,"Imperial County","CA",6025,"H1"
"3260",92233,"Imperial County","CA",6025,"H1"
"3261",92232,"Imperial County","CA",6025,"H1"
"3262",92259,"Imperial County","CA",6025,"H1"
"3263",92244,"Imperial County","CA",6025,"H1"
"3264",92274,"Imperial County","CA",6025,"H1"
"3265",92243,"Imperial County","CA",6025,"H1"
"3266",92257,"Imperial County","CA",6025,"H1"
"3267",92275,"Imperial County","CA",6025,"H1"
"3268",92283,"Imperial County","CA",6025,"H1"
"3269",92281,"Imperial County","CA",6025,"H1"
"3270",92249,"Imperial County","CA",6025,"H1"
"3271",92225,"Imperial County","CA",6025,"H1"
"3272",92273,"Imperial County","CA",6025,"H1"
"3273",92231,"Imperial County","CA",6025,"H1"
"3274",92227,"Imperial County","CA",6025,"H1"
"3275",92222,"Imperial County","CA",6025,"H1"
"3276",93515,"Inyo County","CA",6027,"H1"
"3277",93527,"Inyo County","CA",6027,"H1"
"3278",93526,"Inyo County","CA",6027,"H1"
"3279",93545,"Inyo County","CA",6027,"H1"
"3280",93530,"Inyo County","CA",6027,"H1"
"3281",93514,"Inyo County","CA",6027,"H1"
"3282",92384,"Inyo County","CA",6027,"H1"
"3283",93522,"Inyo County","CA",6027,"H1"
"3284",93549,"Inyo County","CA",6027,"H1"
"3285",92328,"Inyo County","CA",6027,"H1"
"3286",93513,"Inyo County","CA",6027,"H1"
"3287",92389,"Inyo County","CA",6027,"H1"
"3288",93390,"Kern County","CA",6029,"H1"
"3289",93249,"Kern County","CA",6029,"H1"
"3290",93516,"Kern County","CA",6029,"H1"
"3291",93312,"Kern County","CA",6029,"H1"
"3292",93304,"Kern County","CA",6029,"H1"
"3293",93305,"Kern County","CA",6029,"H1"
"3294",93504,"Kern County","CA",6029,"H1"
"3295",93536,"Kern County","CA",6029,"H1"
"3296",93554,"Kern County","CA",6029,"H1"
"3297",93276,"Kern County","CA",6029,"H1"
"3298",93268,"Kern County","CA",6029,"H1"
"3299",93252,"Kern County","CA",6029,"H1"
"3300",93561,"Kern County","CA",6029,"H1"
"3301",93306,"Kern County","CA",6029,"H1"
"3302",93308,"Kern County","CA",6029,"H1"
"3303",93224,"Kern County","CA",6029,"H1"
"3304",93387,"Kern County","CA",6029,"H1"
"3305",93255,"Kern County","CA",6029,"H1"
"3306",93302,"Kern County","CA",6029,"H1"
"3307",93287,"Kern County","CA",6029,"H1"
"3308",93528,"Kern County","CA",6029,"H1"
"3309",93226,"Kern County","CA",6029,"H1"
"3310",93220,"Kern County","CA",6029,"H1"
"3311",93280,"Kern County","CA",6029,"H1"
"3312",93560,"Kern County","CA",6029,"H1"
"3313",93518,"Kern County","CA",6029,"H1"
"3314",93307,"Kern County","CA",6029,"H1"
"3315",93313,"Kern County","CA",6029,"H1"
"3316",93389,"Kern County","CA",6029,"H1"
"3317",93238,"Kern County","CA",6029,"H1"
"3318",93531,"Kern County","CA",6029,"H1"
"3319",93386,"Kern County","CA",6029,"H1"
"3320",93388,"Kern County","CA",6029,"H1"
"3321",93285,"Kern County","CA",6029,"H1"
"3322",93581,"Kern County","CA",6029,"H1"
"3323",93502,"Kern County","CA",6029,"H1"
"3324",93219,"Kern County","CA",6029,"H1"
"3325",93461,"Kern County","CA",6029,"H1"
"3326",93241,"Kern County","CA",6029,"H1"
"3327",93225,"Kern County","CA",6029,"H1"
"3328",93283,"Kern County","CA",6029,"H1"
"3329",93555,"Kern County","CA",6029,"H1"
"3330",93501,"Kern County","CA",6029,"H1"
"3331",93527,"Kern County","CA",6029,"H1"
